Qatar,50.2,
Palau,48.7,
Brunei,47.5,
Suriname,46.6,
Singapore,46.5,
China,45.8,
Nepal,45.4,
Bhutan,40.4,
Botswana,40.3,
Panama,38.9,
Zambia,38.3,
Iran,37.9,
Algeria,37.8,
Papua New Guinea,36.8,
"Korea, South",36.6,
Kuwait,35.4,
Taiwan,34.9,
Norway,34.3,
Thailand,34.1,
Sri Lanka,33.8,
Switzerland,33.8,
Malta,33.5,
Ireland,33.1,
Uzbekistan,32.7,
Cabo Verde,32.4,
Ethiopia,32.1,
Indonesia,31.7,
Netherlands,31.2,
Bangladesh,30.2,
Morocco,30.1,
Saudi Arabia,30.1,
Vietnam,29,
Sweden,28.9,
Denmark,28.8,
India,28.8,
Angola,28.6,
Malaysia,28.5,
United Arab Emirates,28.5,
Germany,28,
Japan,28,
Kyrgyzstan,27.3,
Austria,27,
Estonia,27,
Czechia,26.9,
Mongolia,26.9,
Hong Kong,26.6,
Russia,26.5,
Slovenia,26.4,
Trinidad and Tobago,26.4,
Ecuador,25.9,
Iceland,25.8,
Faroe Islands,25.7,
Hungary,25.7,
Gabon,25.6,
Cameroon,25.5,
Turkey,25.5,
Bulgaria,25.4,
Eswatini,25.4,
Tanzania,25,
Haiti,24.9,
Croatia,24.7,
Azerbaijan,24.6,
Belarus,24.5,
Belgium,24.5,
Tajikistan,24.4,
Philippines,24.3,
Mauritania,24.2,
Nicaragua,24,
Turkmenistan,23.9,
Kazakhstan,23.7,
Israel,23.6,
Finland,23.3,
Zimbabwe,23.3,
Georgia,23,
Spain,23,
France,22.9,
Afghanistan,22.7,
Laos,22.7,
Niger,22.4,
Djibouti,22.3,
Luxembourg,22.3,
Honduras,22.1,
Dominican Republic,21.6,
Mexico,21.4,
Senegal,21.2,
Romania,21.1,
Australia,21,
New Zealand,21,
Canada,20.8,
Latvia,20.7,
Slovakia,20.6,
Uganda,20.6,
Chile,20.5,
Italy,20.3,
Lesotho,20.3,
Poland,20,
Saint Kitts and Nevis,19.9,
Bahrain,19.8,
Peru,19.8,
"Congo, Republic of the",19.5,
Saint Lucia,19.4,
Iraq,19,
Colombia,18.9,
Ukraine,18.9,
United States,18.9,
Sao Tome and Principe,18.7,
Paraguay,18.6,
Jamaica,18.3,
Nigeria,18.2,
Lithuania,18,
Armenia,17.8,
Burma,17.7,
Argentina,17.6,
Antigua and Barbuda,17.3,
Benin,17.3,
Comoros,17.3,
Kosovo,17.3,
Uruguay,17.2,
Aruba,17,
Syria,17,
Mauritius,16.9,
Mozambique,16.8,
Portugal,16.8,
Namibia,16.7,
Mali,16.5,
Oman,16.1,
South Africa,16.1,
Togo,16.1,
Albania,15.9,
Cote d'Ivoire,15.9,
Bolivia,15.7,
Chad,15.5,
Serbia,15.3,
Costa Rica,15.1,
Brazil,15,
El Salvador,14.9,
Madagascar,14.8,
Cambodia,13.7,
Cyprus,13.7,
Guatemala,13.6,
United Kingdom,13.6,
Moldova,13.5,
Montenegro,13.2,
Solomon Islands,13.1,
Fiji,12.7,
Rwanda,12.5,
Saint Vincent and the Grenadines,12.1,
Sudan,12.1,
Venezuela,12.1,
Pakistan,12,
Tunisia,12,
Grenada,11.7,
"Congo, Democratic Republic of the",11.5,
"Bahamas, The",11.4,
Cuba,11.4,
Belize,11.3,
Bosnia and Herzegovina,11,
Greece,10.9,
Dominica,10.8,
Guyana,10.5,
Kenya,10.4,
Sierra Leone,10,
Burkina Faso,9.3,
Jordan,9.1,
Egypt,9,
Ghana,9,
Guinea-Bissau,8.6,
Seychelles,8.1,
West Bank,7.8,
Barbados,7.2,
"Gambia, The",6.8,
Equatorial Guinea,6.1,
Eritrea,5.5,
Central African Republic,5.4,
Guinea,5.1,
Libya,5,
Malawi,3.9,
South Sudan,3.6,
Maldives,0.5,
Lebanon,-0.7,
Yemen,-1.9,
Burundi,-5.3,
Liberia,-21.9,